IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,false,,,,,,,,,,,,,1014,,,,,,1014,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,false,,,,,,,,,,,,,103,,,,,,103,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2019,false,,,,,,,,,,,,,106,,,,,,106,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,NAM,Namibia,Year,2019,false,,,,,,,,,,,,,1064,,,,,,1064,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,false,,,,,,,,,,,,,1107,,,,,,1107,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,SUR,Suriname,Year,2019,false,,,,,,,,,,,,,111,,,,,,111,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,false,,,,,,,,,,,,,1342,,,,,,1342,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2019,false,,,,,,,,,,,,,1565,,,,,,1565,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,PER,Peru,Year,2019,false,,,,,,,,,,,,,159,,,,,,159,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,PAN,Panama,Year,2019,false,,,,,,,,,,,,,17,,,,,,17,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,false,,,,,,,,,,,,,1848,,,,,,1848,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2019,false,,,,,,,,,,,,,19,,,,,,19,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,BLZ,Belize,Year,2019,false,,,,,,,,,,,,,2,,,,,,2,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2019,false,,,,,,,,,,,,,2029,,,,,,2029,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,MEX,Mexico,Year,2019,false,,,,,,,,,,,,,22,,,,,,22,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,false,,,,,,,,,,,,,23,,,,,,23,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,COL,Colombia,Year,2019,false,,,,,,,,,,,,,2306,,,,,,2306,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,CHN,China,Year,2019,false,,,,,,,,,,,,,2486,,,,,,2486,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2019,false,,,,,,,,,,,,,26,,,,,,26,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,SLV,El Salvador,Year,2019,false,,,,,,,,,,,,,3,,,,,,3,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,GTM,Guatemala,Year,2019,false,,,,,,,,,,,,,3,,,,,,3,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2019,false,,,,,,,,,,,,,3,,,,,,3,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,false,,,,,,,,,,,,,30,,,,,,30,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,false,,,,,,,,,,,,,3286,,,,,,3286,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2019,false,,,,,,,,,,,,,338,,,,,,338,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2019,false,,,,,,,,,,,,,39,,,,,,39,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,BRA,Brazil,Year,2019,false,,,,,,,,,,,,,4158,,,,,,4158,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2019,false,,,,,,,,,,,,,45,,,,,,45,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,false,,,,,,,,,,,,,45,,,,,,45,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2019,false,,,,,,,,,,,,,53,,,,,,53,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,false,,,,,,,,,,,,,579,,,,,,579,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,false,,,,,,,,,,,,,6,,,,,,6,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,HND,Honduras,Year,2019,false,,,,,,,,,,,,,61,,,,,,61,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,false,,,,,,,,,,,,,61,,,,,,61,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,false,,,,,,,,,,,,,630,,,,,,630,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2019,false,,,,,,,,,,,,,74,,,,,,74,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,false,,,,,,,,,,,,,8,,,,,,8,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2019,false,,,,,,,,,,,,,8890,,,,,,8890,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,false,,,,,,,,,,,,,9,,,,,,9,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2019,false,,,,,,,,,,,,,9,,,,,,9,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,false,,,,,,,,,,,,,95,,,,,,95,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,COM,Comoros,Year,2019,false,,,,,,,,,,,,,98,,,,,,98,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2018,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2018,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,PRY,Paraguay,Year,2018,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2018,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2018,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2018,false,,,,,,,,,,,,,1,,,,,,1,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2018,false,,,,,,,,,,,,,11,,,,,,11,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2018,false,,,,,,,,,,,,,12,,,,,,12,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2018,false,,,,,,,,,,,,,12,,,,,,12,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,DZA,Algeria,Year,2018,false,,,,,,,,,,,,,1241,,,,,,1241,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2018,false,,,,,,,,,,,,,153,,,,,,153,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2018,false,,,,,,,,,,,,,1618,,,,,,1618,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2018,false,,,,,,,,,,,,,1681,,,,,,1681,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2018,false,,,,,,,,,,,,,17,,,,,,17,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2018,false,,,,,,,,,,,,,1754,,,,,,1754,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,PER,Peru,Year,2018,false,,,,,,,,,,,,,176,,,,,,176,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2018,false,,,,,,,,,,,,,18,,,,,,18,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,COL,Colombia,Year,2018,false,,,,,,,,,,,,,1948,,,,,,1948,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,SUR,Suriname,Year,2018,false,,,,,,,,,,,,,199,,,,,,199,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2018,false,,,,,,,,,,,,,2,,,,,,2,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,SLV,El Salvador,Year,2018,false,,,,,,,,,,,,,2,,,,,,2,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,HND,Honduras,Year,2018,false,,,,,,,,,,,,,21,,,,,,21,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2018,false,,,,,,,,,,,,,2125,,,,,,2125,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,ARG,Argentina,Year,2018,true,,,,,,,,,,,,,23,,,,,,23,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,AMR,Americas,Country,MEX,Mexico,Year,2018,false,,,,,,,,,,,,,23,,,,,,23,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,WPR,Western Pacific,Country,CHN,China,Year,2018,false,,,,,,,,,,,,,2511,,,,,,2511,,,EN,2022-02-10T05:00:00.000Z
MALARIA_IMPORTED,Number of imported malaria cases,numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2018,false,,,,,,,,,,,,,2517,,,,,,2517,,,EN,2022-02-10T05:00:00.000Z
